endTime,lastUpdatedTime,priceArea,productionGroup,quantityKwh,startTime
2021-01-01T01:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2507716.8,2021-01-01T00:00:00+01:00
2021-01-01T02:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2494728.0,2021-01-01T01:00:00+01:00
2021-01-01T03:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2486777.5,2021-01-01T02:00:00+01:00
2021-01-01T04:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2461176.0,2021-01-01T03:00:00+01:00
2021-01-01T05:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2466969.2,2021-01-01T04:00:00+01:00
2021-01-01T06:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2467460.0,2021-01-01T05:00:00+01:00
2021-01-01T07:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2482320.8,2021-01-01T06:00:00+01:00
2021-01-01T08:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2509533.0,2021-01-01T07:00:00+01:00
2021-01-01T09:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2550758.2,2021-01-01T08:00:00+01:00
2021-01-01T10:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2693111.0,2021-01-01T09:00:00+01:00
2021-01-01T11:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2762854.8,2021-01-01T10:00:00+01:00
2021-01-01T12:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2767902.2,2021-01-01T11:00:00+01:00
2021-01-01T13:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2777353.2,2021-01-01T12:00:00+01:00
2021-01-01T14:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2779136.0,2021-01-01T13:00:00+01:00
2021-01-01T15:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2804195.0,2021-01-01T14:00:00+01:00
2021-01-01T16:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2846295.5,2021-01-01T15:00:00+01:00
2021-01-01T17:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2864646.2,2021-01-01T16:00:00+01:00
2021-01-01T18:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2859661.0,2021-01-01T17:00:00+01:00
2021-01-01T19:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2854212.2,2021-01-01T18:00:00+01:00
2021-01-01T20:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2802948.2,2021-01-01T19:00:00+01:00
2021-01-01T21:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2795598.2,2021-01-01T20:00:00+01:00
2021-01-01T22:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2801373.8,2021-01-01T21:00:00+01:00
2021-01-01T23:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2787213.8,2021-01-01T22:00:00+01:00
2021-01-02T00:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2743757.5,2021-01-01T23:00:00+01:00
2021-01-02T01:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2668773.5,2021-01-02T00:00:00+01:00
2021-01-02T02:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2527079.8,2021-01-02T01:00:00+01:00
2021-01-02T03:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2524382.2,2021-01-02T02:00:00+01:00
2021-01-02T04:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2532955.2,2021-01-02T03:00:00+01:00
2021-01-02T05:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2526257.0,2021-01-02T04:00:00+01:00
2021-01-02T06:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2588060.0,2021-01-02T05:00:00+01:00
2021-01-02T07:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2718743.5,2021-01-02T06:00:00+01:00
2021-01-02T08:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2720161.8,2021-01-02T07:00:00+01:00
2021-01-02T09:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2732447.2,2021-01-02T08:00:00+01:00
2021-01-02T10:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2758060.5,2021-01-02T09:00:00+01:00
2021-01-02T11:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2792145.5,2021-01-02T10:00:00+01:00
2021-01-02T12:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2811940.2,2021-01-02T11:00:00+01:00
2021-01-02T13:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2776460.8,2021-01-02T12:00:00+01:00
2021-01-02T14:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2817867.5,2021-01-02T13:00:00+01:00
2021-01-02T15:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2791461.8,2021-01-02T14:00:00+01:00
2021-01-02T16:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2833689.8,2021-01-02T15:00:00+01:00
2021-01-02T17:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2907927.0,2021-01-02T16:00:00+01:00
2021-01-02T18:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2960291.8,2021-01-02T17:00:00+01:00
2021-01-02T19:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2960820.2,2021-01-02T18:00:00+01:00
2021-01-02T20:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2953576.5,2021-01-02T19:00:00+01:00
2021-01-02T21:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2845248.8,2021-01-02T20:00:00+01:00
2021-01-02T22:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2797665.5,2021-01-02T21:00:00+01:00
2021-01-02T23:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2782878.2,2021-01-02T22:00:00+01:00
2021-01-03T00:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2759915.2,2021-01-02T23:00:00+01:00
2021-01-03T01:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2675803.8,2021-01-03T00:00:00+01:00
2021-01-03T02:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2627278.2,2021-01-03T01:00:00+01:00
2021-01-03T03:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2613681.2,2021-01-03T02:00:00+01:00
2021-01-03T04:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2602283.2,2021-01-03T03:00:00+01:00
2021-01-03T05:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2596754.5,2021-01-03T04:00:00+01:00
2021-01-03T06:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2607791.8,2021-01-03T05:00:00+01:00
2021-01-03T07:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2629981.8,2021-01-03T06:00:00+01:00
2021-01-03T08:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2668741.0,2021-01-03T07:00:00+01:00
2021-01-03T09:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2682358.8,2021-01-03T08:00:00+01:00
2021-01-03T10:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2760101.2,2021-01-03T09:00:00+01:00
2021-01-03T11:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2782520.8,2021-01-03T10:00:00+01:00
2021-01-03T12:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2777214.8,2021-01-03T11:00:00+01:00
2021-01-03T13:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2740245.0,2021-01-03T12:00:00+01:00
2021-01-03T14:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2752588.8,2021-01-03T13:00:00+01:00
2021-01-03T15:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2775354.8,2021-01-03T14:00:00+01:00
2021-01-03T16:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2782939.0,2021-01-03T15:00:00+01:00
2021-01-03T17:00:00+01:00,2024-12-20T10:35:40+01:00,NO1,hydro,2862310.5,2021-01-03T16:00:00+01:00
